Flight No.,Origin,Destination,Departure,Arrival,Date
AI 0425,Indore (IDR),Tirupati(TIR),6:30,11:00,10/31/2021
AI 0699,Indore (IDR),Tirupati(TIR),17:05,9:10,10/25/2021
AI 0699,Indore (IDR),Goa(GOI),6:30,10:45,10/26/2021
9I 0506,Indore (IDR),Goa(GOI),15:20,20:50,10/25/2021
9I 0506,Jaipur (JAI),Varanasi(VNS),7:40,14:25,10/27/2021
9I 0876,Jaipur (JAI),Varanasi(VNS),12:10,22:40,10/26/2021
9I 0876,Jaipur (JAI),Amritsar(ATQ),5:50,7:05,10/25/2021
9I 0876,Jaipur (JAI),Amritsar(ATQ),13:55,19:15,10/25/2021
AI 0721,Jaipur (JAI),Amritsar(ATQ),8:40,6:15,10/25/2021
AI 0674,Jaipur (JAI),Goa(GOI),23:05,7:25,10/25/2021
AI 0770,Jaipur (JAI),Goa(GOI),8:20,19:55,10/26/2021
AI 0824,Jaipur (JAI),Goa(GOI),10:10,14:25,10/31/2021
AI 0824,Jaipur (JAI),Kochi(COK),11:50,18:45,10/31/2021
AI 0468,Jaipur (JAI),Kochi(COK),9:40,16:55,10/31/2021
AI 0419,Jaipur (JAI),Coimbatore(CJB),6:15,11:10,11/1/2021
AI 0420,Jaipur (JAI),Coimbatore(CJB),10:05,15:30,11/2/2021
AI 0421,Jaipur (JAI),Tiruchirapalli(TRZ),10:50,18:05,11/3/2021
AI 0490,Jaipur (JAI),Tiruchirapalli(TRZ),6:30,18:05,11/3/2021
AI 0490,Jaipur (JAI),Tirupati(TIR),6:15,11:00,10/31/2021
AI 0424,Jaipur (JAI),Tirupati(TIR),20:15,7:45,10/26/2021
AI 0494,Jaipur (JAI),Guwahati(GAU),9:40,18:30,10/31/2021
AI 0646,Jaipur (JAI),Guwahati(GAU),21:10,10:15,10/25/2021
AI 0647,Jaipur (JAI),Srinagar(SXR),7:40,11:40,10/26/2021
